race_id,date,venue,race_no,surface,distance,going,horse_ratings,prize,race_class,sec_time,win_combination
816,7/1/98,HV,8,0,1650,GOOD TO FIRM,100-80,1150000,2,28.05,11
817,7/4/98,ST,1,0,1000,GOOD TO FIRM,60-40,625000,4,13.42,8
818,7/4/98,ST,2,1,1650,FAST,40-10,485000,5,28.08,14
819,7/4/98,ST,3,0,1400,GOOD TO FIRM,60-40,625000,4,13.55,1
820,7/4/98,ST,4,0,1400,GOOD TO FIRM,40-10,485000,5,13.62,13
821,7/4/98,ST,5,1,1650,FAST,60-40,625000,4,28.5,2
822,7/4/98,ST,6,0,1600,GOOD TO FIRM,60-40,625000,4,24.19,8
823,7/4/98,ST,7,1,1650,FAST,80-60,850000,3,27.77,6
824,7/4/98,ST,8,0,1400,GOOD TO FIRM,80-60,850000,3,13.53,6
825,7/4/98,ST,9,0,1200,GOOD TO FIRM,80-60,850000,3,24.17,5
826,7/4/98,ST,10,0,1400,GOOD TO FIRM,105-80,1400000,1,13.3,12
827,7/8/98,HV,1,0,1200,GOOD TO FIRM,60-40,625000,4,23.95,11
828,7/8/98,HV,2,0,1200,GOOD TO FIRM,60-40,625000,4,24.02,1
829,7/8/98,HV,3,0,1800,GOOD TO FIRM,40-10,485000,5,14.14,5
830,7/8/98,HV,4,0,1650,GOOD TO FIRM,60-40,625000,4,27.66,6
835,7/12/98,ST,1,0,1200,GOOD TO FIRM,40-15,485000,5,24.7,6
844,7/12/98,ST,10,0,1600,GOOD TO FIRM,80-60,850000,3,25.08,10
852,7/19/98,HV,8,0,1650,GOOD,85-60,850000,3,27.09,8
853,7/19/98,HV,9,0,1200,GOOD,100-80,1150000,2,23.16,1
854,7/19/98,HV,10,0,1650,GOOD,105-80,1400000,1,27.27,2
855,7/22/98,ST,1,1,1200,FAST,40-10,485000,5,24.09,4
856,7/22/98,ST,2,1,1800,FAST,60-40,625000,4,13.81,5
857,7/22/98,ST,3,1,1200,FAST,60-40,625000,4,23.53,5
858,7/22/98,ST,4,1,1800,FAST,40-0,485000,5,13.84,8
863,7/25/98,ST,1,0,1000,GOOD,60-40,625000,4,13.31,8
864,7/25/98,ST,2,0,1600,GOOD,40-0,485000,5,24.75,4
865,7/25/98,ST,3,0,1400,GOOD,40-10,485000,5,13.94,8
866,7/25/98,ST,4,0,1400,GOOD,60-40,625000,4,13.8,9
873,7/29/98,HV,1,0,1000,GOOD TO FIRM,40-0,485000,5,12.67,2
874,7/29/98,HV,2,0,1800,GOOD TO FIRM,40-0,485000,5,13.69,5
881,8/2/98,ST,1,1,1650,FAST,60-40,625000,4,28.17,10
882,8/2/98,ST,2,0,1200,GOOD,60-40,625000,4,24.08,5
883,8/2/98,ST,3,1,1200,FAST,105-80,1400000,1,23.48,3
884,8/2/98,ST,4,0,1800,GOOD,60-40,625000,4,13.94,10
885,8/2/98,ST,5,0,1400,GOOD,60-40,625000,4,13.86,8
897,8/5/98,HV,7,0,1650,GOOD TO FIRM,80-60,850000,3,28.16,11
898,8/5/98,HV,8,0,1200,GOOD TO FIRM,80-60,850000,3,23.81,5
904,8/9/98,ST,6,0,1200,GOOD,65-40,625000,4,23.75,7
907,8/9/98,ST,9,0,1200,GOOD,100-80,1150000,2,23.72,11
908,8/9/98,ST,10,0,1400,GOOD,95-75,1150000,2,13.61,12
909,8/12/98,HV,1,0,1200,GOOD TO FIRM,60-40,625000,4,23.53,7
910,8/12/98,HV,2,0,1650,GOOD TO FIRM,60-40,625000,4,28,10
911,8/12/98,HV,3,0,1200,GOOD TO FIRM,60-40,625000,4,23.64,2
912,8/12/98,HV,4,0,1650,GOOD TO FIRM,60-40,625000,4,27.72,2
917,8/16/98,ST,1,0,1200,GOOD,60-40,625000,4,24.02,12
918,8/16/98,ST,2,0,1000,GOOD,60-40,625000,4,13.42,3
919,8/16/98,ST,3,0,1000,GOOD,85-60,850000,3,13.56,10
920,8/16/98,ST,4,0,1400,GOOD,40-0,485000,5,13.59,12
921,8/16/98,ST,5,0,1800,GOOD,60-40,625000,4,14.14,10
934,8/19/98,HV,8,0,1650,GOOD TO FIRM,80-60,850000,3,27.02,8
938,8/23/98,ST,4,1,1650,FAST,40-0,485000,5,27.73,13
939,8/23/98,ST,5,1,1650,FAST,60-40,625000,4,28.24,8
940,8/23/98,ST,6,1,1200,FAST,80-60,850000,3,23.84,1
941,8/23/98,ST,7,0,1400,GOOD,60-40,625000,4,13.52,4
942,8/23/98,ST,8,1,1650,FAST,110-85,1750000,1,27.8,6
943,8/23/98,ST,9,0,1400,GOOD,80-60,850000,3,13.36,9
944,8/23/98,ST,10,1,1650,FAST,85-60,850000,3,27.83,8
